                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4095,                 1.2273,                 1.3669,                0.47231,                 0.5552,                0.45705,                0.32153,                 1.0483,                 1.5408,                 1.2609,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.4109,                 1.2276,                 1.3659,                0.47234,                0.55364,                0.45654,                0.32128,                 1.0474,                 1.5389,                 1.2603,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.4109,                 1.2284,                 1.3646,                0.47269,                0.55402,                0.45602,                0.32083,                 1.0475,                 1.5363,                   1.26,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.4091,                 1.2255,                 1.3637,                0.47232,                0.55408,                0.45542,                0.32028,                 1.0477,                 1.5349,                 1.2602,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.4117,                  1.227,                 1.3639,                0.47174,                0.55508,                0.45544,                0.32029,                 1.0484,                 1.5325,                 1.2609,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.4104,                 1.2266,                 1.3642,                  0.475,                0.55326,                0.45477,                0.31994,                 1.0476,                 1.5309,                 1.2601,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.4093,                 1.2265,                 1.3634,                0.47273,                0.55539,                0.45437,                0.31954,                 1.0469,                 1.5296,                 1.2597,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.4094,                 1.2248,                 1.3629,                0.47475,                0.55258,                0.45471,                0.31959,                 1.0471,                 1.5274,                 1.2601,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.4088,                 1.2257,                 1.3633,                0.47544,                0.55178,                0.45442,                0.31919,                 1.0472,                 1.5244,                 1.2602,               0.009604,               0.009604,               0.009604
                     43,                 1.4074,                 1.2249,                 1.3626,                 0.4742,                0.55206,                0.45411,                0.31899,                 1.0469,                 1.5223,                 1.2599,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.4094,                 1.2238,                 1.3626,                0.47404,                0.55258,                0.45357,                0.31878,                 1.0467,                 1.5206,                   1.26,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.4083,                 1.2235,                 1.3626,                0.47393,                0.55475,                 0.4535,                0.31881,                 1.0462,                 1.5189,                   1.26,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.4086,                  1.224,                 1.3621,                0.47363,                0.55311,                0.45359,                0.31895,                 1.0469,                 1.5182,                 1.2606,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.4072,                 1.2238,                 1.3643,                0.47252,                0.55385,                0.45338,                0.31874,                 1.0468,                  1.517,                 1.2612,              0.0095545,              0.0095545,              0.0095545
                     48,                  1.408,                 1.2229,                 1.3633,                0.47372,                0.55258,                0.45341,                0.31867,                 1.0465,                 1.5143,                 1.2612,              0.0095446,              0.0095446,              0.0095446
                     49,                  1.408,                  1.223,                 1.3628,                0.47447,                0.55249,                0.45338,                0.31862,                 1.0462,                 1.5127,                 1.2611,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.4072,                 1.2222,                 1.3619,                0.47261,                0.55454,                0.45306,                0.31884,                 1.0469,                 1.5113,                 1.2616,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.4091,                  1.224,                 1.3618,                0.47482,                0.55168,                 0.4529,                0.31881,                 1.0474,                 1.5103,                 1.2619,              0.0095149,              0.0095149,              0.0095149
                     52,                  1.408,                 1.2227,                 1.3629,                0.47213,                0.55462,                0.45293,                0.31878,                 1.0465,                 1.5093,                 1.2614,               0.009505,               0.009505,               0.009505
                     53,                 1.4062,                 1.2206,                 1.3614,                0.47364,                0.55289,                0.45275,                0.31855,                 1.0461,                 1.5094,                 1.2611,              0.0094951,              0.0094951,              0.0094951
                     54,                 1.4079,                 1.2215,                 1.3633,                0.47388,                0.55221,                0.45215,                0.31838,                 1.0459,                 1.5089,                 1.2612,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.4075,                 1.2191,                 1.3614,                0.47274,                0.55341,                0.45244,                0.31832,                 1.0461,                  1.507,                 1.2613,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.4054,                 1.2222,                 1.3621,                0.47641,                0.54912,                0.45255,                0.31853,                 1.0454,                 1.5069,                  1.261,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.4065,                 1.2214,                 1.3623,                0.47497,                0.55198,                0.45254,                0.31846,                 1.0467,                 1.5058,                 1.2617,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.4057,                 1.2197,                 1.3593,                0.47363,                0.55371,                0.45259,                0.31854,                  1.047,                 1.5053,                 1.2617,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.4058,                 1.2194,                 1.3628,                0.47614,                0.55115,                0.45296,                0.31893,                  1.047,                 1.5053,                 1.2611,              0.0094357,              0.0094357,              0.0094357
                     60,                 1.4043,                 1.2216,                 1.3614,                 0.4749,                0.55176,                0.45279,                0.31887,                 1.0478,                 1.5056,                 1.2612,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.4053,                 1.2209,                 1.3603,                0.47699,                0.54987,                0.45316,                0.31887,                 1.0488,                 1.5054,                 1.2619,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.4046,                 1.2195,                 1.3611,                0.47542,                0.55168,                0.45291,                0.31891,                 1.0501,                 1.5061,                 1.2631,               0.009406,               0.009406,               0.009406
                     63,                 1.4042,                 1.2184,                 1.3601,                0.47341,                0.55356,                0.45342,                0.31924,                 1.0501,                 1.5062,                 1.2629,              0.0093961,              0.0093961,              0.0093961
                     64,                  1.405,                 1.2204,                 1.3613,                0.47236,                 0.5553,                0.45328,                0.31912,                 1.0485,                 1.5059,                 1.2617,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.4055,                 1.2198,                 1.3611,                0.47308,                0.55567,                0.45348,                0.31923,                 1.0478,                 1.5058,                  1.261,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.4055,                 1.2198,                 1.3605,                 0.4752,                0.55426,                0.45349,                0.31918,                 1.0482,                 1.5064,                 1.2611,              0.0093664,              0.0093664,              0.0093664
                     67,                  1.406,                 1.2211,                 1.3597,                0.47457,                0.55462,                0.45394,                0.31956,                 1.0479,                 1.5055,                 1.2606,              0.0093565,              0.0093565,              0.0093565
                     68,                 1.4043,                 1.2188,                 1.3596,                0.47561,                0.55344,                0.45445,                0.31966,                 1.0477,                 1.5049,                 1.2605,              0.0093466,              0.0093466,              0.0093466
